0 151 0;
0; 0; 0;
0; 1; 0;
0; 2; 0;
0; 2; 1;
0; 1; 1;
0; 0; 1;
0; 0; 2;
0; 0; 3;
0; 0; 4;
0; 0; 5;
0; 0; 6;
0; 0; 7;
0; 0; 8;
0; 0; 9;
0; 0; 10;
0; 0; 11;
0; 0; 12;
0; 0; 13;
0; 0; 14;
0; 0; 15;
0; 0; 16;
0; 0; 17;
0; 0; 18;
0; 0; 19;
0; 1; 19;
0; 2; 19;
0; 2; 18;
0; 1; 18;
0; 1; 17;
0; 2; 17;
0; 2; 16;
0; 1; 16;
0; 1; 15;
0; 1; 14;
0; 1; 13;
0; 1; 12;
0; 1; 11;
0; 1; 10;
0; 1; 9;
0; 1; 8;
0; 1; 7;
0; 1; 6;
0; 1; 5;
0; 1; 4;
0; 1; 3;
0; 1; 2;
0; 2; 2;
0; 2; 3;
0; 2; 4;
0; 2; 5;
0; 2; 6;
0; 2; 7;
0; 2; 8;
0; 2; 9;
0; 2; 10;
0; 2; 11;
0; 2; 12;
0; 2; 13;
0; 2; 14;
0; 2; 15;
0; 19; 19;
0; 19; 18;
0; 19; 17;
0; 19; 16;
0; 19; 15;
0; 19; 14;
0; 19; 13;
0; 19; 12;
0; 19; 11;
0; 19; 5;
0; 19; 6;
0; 19; 7;
0; 19; 8;
0; 19; 9;
0; 19; 10;
0; 19; 4;
0; 19; 3;
0; 19; 2;
0; 19; 1;
0; 19; 0;
0; 18; 0;
0; 17; 0;
0; 17; 1;
0; 17; 2;
0; 17; 3;
0; 17; 4;
0; 17; 5;
0; 17; 6;
0; 17; 7;
0; 17; 8;
0; 17; 9;
0; 17; 10;
0; 17; 11;
0; 17; 12;
0; 17; 13;
0; 17; 14;
0; 17; 15;
0; 17; 16;
0; 17; 17;
0; 17; 18;
0; 17; 19;
0; 18; 19;
0; 18; 18;
0; 18; 17;
0; 18; 16;
0; 18; 15;
0; 18; 14;
0; 18; 13;
0; 18; 12;
0; 18; 11;
0; 18; 10;
0; 18; 9;
0; 18; 8;
0; 18; 7;
0; 18; 6;
0; 18; 5;
0; 18; 4;
0; 18; 3;
0; 18; 2;
0; 18; 1;
2; 9; 0;
2; 10; 0;
2; 10; 1;
2; 9; 1;
2; 9; 2;
2; 9; 3;
2; 9; 4;
2; 9; 5;
2; 9; 6;
2; 9; 7;
2; 9; 8;
2; 9; 9;
2; 9; 10;
2; 9; 11;
2; 9; 12;
2; 9; 13;
2; 9; 14;
2; 9; 15;
2; 9; 16;
2; 9; 17;
2; 9; 18;
2; 9; 19;
2; 10; 19;
2; 10; 18;
2; 10; 17;
2; 10; 16;
2; 10; 15;
2; 10; 14;
2; 10; 13;
2; 10; 12;
2; 10; 11;
2; 10; 10;
2; 10; 9;
2; 10; 8;
2; 10; 7;
2; 10; 6;
2; 10; 5;
2; 10; 4;
2; 10; 3;
2; 10; 2;
4; 11; 4; treered.png; 
4; 12; 4; treered.png; 
4; 12; 5; treered.png; 
3; 11; 5; treeasian.png; 
1; 11; 5; 6; 9; store.txt; 
4; 12; 6; treered.png; 
4; 11; 6; treered.png; 
1; 9; 0; 9; 18; firstMap.txt; 
1; 10; 0; 10; 18; firstMap.txt; 
